Date,Location,Deaths,Injuries,Total,Description
1/23/1987,"Detroit, Michigan",0,1,1,"A 15-year-old boy fired five shots in gym class at Redford High School, wounding 15-year-old Marcus Childress. The shooting stemmed from a fight of two groups of teenagers.[306]"
2/4/1987,"Northridge, California",2,0,2,"35-year-old associate professor of Computer Science Djamshid (Amir) Asgari was confronted in the Engineering Building of California State University, Northridge by 25-year-old graduate student Fawwaz Abdin. Abdin was angry about a low grade Asgari had given him a year earlier, which caused him to be put on academic probation. After Asgari refused to change his grade, Abdin shot him twice, then fatally shot himself. Asgari later died at the Northridge Hospital.[307]"
2/13/1987,"Mayer, Arizona",1,2,3,"After being caught with beer at the Orme School in Mayer, Arizona, 17-year-old Jarod Huskey went on a shooting rampage on the school campus, wounding two people, before being killed in a shootout with police.[308]"
3/2/1987,"De Kalb, Missouri",2,0,2,"After constant teasing about his weight, 12-year-old honors student Nathan Ferris killed 13-year-old classmate Timothy Perrin, then turned the gun on himself.[206][256][309]"
3/9/1987,"Compton, California",1,0,1,"Compton Unified School District police officer Roosevelt Farrell was shot in the leg after confronting three juvenile intruders as he was patrolling the campus of Chester Adult School in Compton, California. Farrell died on March 16 from complications resulting from the wound. The 16-year-old gunman was arrested and charged with murder; two other youths were sought by police.[310][311]"
4/16/1987,"Woodbridge, Michigan",1,2,3,Murray-Wright High School second shooting: A ninth-grade student at Murray-Wright High School shot and killed 17-year-old Chester Jackson and wounded 17-year-old Damon Matthews and 18-year-old Tomeka Turner.[312]
9/28/1987,"Lansing, Illinois",0,1,1,"After being kicked off the soccer team for smoking on school grounds, 16-year-old student Blake Docter of Illiana Christian High School shot 44-year-old John Hoogewerf, the teacher who had reported him for smoking, in the chest.[313] In September 1989, Docter was sentenced to spend the next 12 weekends in jail, was given a fine of $1,000 and put on 30 months of adult probation.[314]"
10/14/1987,"Bronzeville, Illinois",1,0,1,"15-year-old freshman student Dartagnan Young of DuSable High School was shot to death in a third-floor hallway of the school by 16-year-old student Larry Sims.[315][316] Sims, a documented gang member, had argued with Young the previous day about street–gang activity. Sims was convicted in 1994 of first degree murder and sentenced to 40 years in prison.[317]"
11/4/1987,"Detroit, Michigan",0,1,1,"A 16-year-old male was shot while sitting in his car in the Southwestern High School parking lot when the shooter approached the victim, asked him for money then shot him when he told him he didn’t have any money.[276]"
2/11/1988,"Largo, Florida",1,3,4,Pinellas Park High shooting: 15-year-old students Jason Harless and Jason McCoy took stolen .38-caliber revolvers to Pinellas Park High School. Harless shot two assistant principals and a student teacher inside the school's cafeteria. 53-year-old Richard Allen died from his injuries; Nancy Blackwelder and intern Joseph Bloznalis were wounded. Harless was shot and wounded during a shootout with police outside the school; McCoy was later apprehended at a residence.[206][256][318]
3/4/1988,"Detroit, Michigan",0,1,1,A 13-year-old girl played with a gun on the school bus and fired it by accident and injured a 12-year-old.[319]
5/20/1988,"Winnetka, Illinois",2,5,7,30-year-old Laurie Dann killed eight-year-old Nick Corwin inside Hubbard Woods School. Five additional students were wounded. Dann later committed suicide after taking hostages in a nearby home.[206][256][320]
6/30/1988,"Oahu, Hawaii",0,1,1,17-year-old 'Aiea High School student Romel Castro shot his summer school teacher who survived.[321][322][323][324]
7/10/1988,"Milwaukee, Wisconsin",0,1,1,25-year-old Robin Jenkins was shot in the elbow after a basketball game turned violent at Siefert Elementary School. A 28-year-old man was taken into custody the following day.[325]
8/31/1988,"Anderson, South Carolina",1,0,1,"35-year-old principal Dennis Ray Hepler was robbed at gunpoint by Kevin Dean Young, William Henry Bell, and John Glenn on the grounds of West Franklin Street Elementary school. Young, 20, fired a fatal shot from the .25-caliber pistol into Dennis' back. After Hepler fell to the ground, Bell fired another shot into his head. In 1989, Young was sentenced to death for the murder, and in 2000 was executed by lethal injection. Bell was also sentenced to death, but the sentence was commuted in 2017 to life with parole. Glenn was convicted of armed robbery and accessory to murder and sentenced to 35 years in prison. A fourth man who acted as the getaway driver, Arthur Ray Jones, pleaded guilty to an accessory charge and was sentenced to 10 years in jail, with all but 7+1⁄2 months suspended.[326]"
9/2/1988,"South Dallas, Texas",0,2,2,"Two groups of teens fired handguns at each other across Lincoln High School's parking lot. Caught in the crossfire were 15-year-old Mark Lee and LaSonya Betts, striking Lee in the hip and Betts in the abdomen. A 17-year-old male former student of Lincoln was arrested in connection with the shootings.[327]"
9/22/1988,"Near West Side, Illinois",5,2,7,"After killing 41-year-old John Van Dyke of Lisle, Illinois and 26-year-old Robert Quinn of Franklin Park, Illinois at a nearby auto parts store called Comet Auro Parts, 40-year-old Clem ""Clemmie"" Henderson entered Moses Montefiore Academy, where he shot and killed the school custodian. Henderson then shot and killed police officer Irma Ruiz and wounded her partner, Greg Jaglowski, as they confronted him. Despite being shot in both legs, Jaglowski managed to return fire, killing Henderson. The last victim includes 34-year-old Arthur Baker, a custodial worker at Montefiore and injured Laplose Chestnut.[328]"
9/26/1988,"Greenwood, South Carolina",2,9,11,"Oakland Elementary School shooting: 19-year-old James William Wilson entered Oakland Elementary School and started firing shots in the cafeteria, wounding two students and a teacher. After reloading his gun in a girls' restroom, he was confronted by teacher Kat Finkbeiner, who tried to stop him; she was wounded twice. He then entered a third-grade classroom and shot toward the students, killing eight-year-old Shequila Tawoon Bradley and Tequila Maria Thomas and wounding five others. Wilson was convicted of murder and sentenced to death.[206][256][329]"
10/3/1988,"Mascotte, Florida",0,1,1,9-year-old Leah Wilbanks was shot twice by an unknown gunman at Mascotte Elementary School during P.E. class from behind the school fence. The shooter fled and was never arrested.[327][330]
10/4/1988,"Jacksonville, Florida",0,5,5,"Eight teachers, 20 students, and 13 cheerleaders were leaving Ribault Junior High School after a football game when their bus was pelted with gunfire and rocks. The bullets and rocks struck the bus on the drivers side, with the bullets penetrating all the way through the bus. Five girls suffered minor injuries from broken glass.[327]"
10/4/1988,"Baton Rouge, Louisiana",0,0,0,"33-year-old Evelena B. Moore, a special-education teacher at Galvez Elementary, opened fire on cafeteria worker Beatrice Hills in the school's parking lot. Hills was not injured. Police arrested Moore and charged her with attempted second-degree murder. Moore was back at work the next day. Superintendent Ralph Ricardo said that the school board had no provisions to dismiss a teacher charged with attempted murder, and therefore Moore was allowed remain on the job until pleading guilty or being convicted of the charge.[327]"
10/6/1988,"Mobile, Alabama",0,1,1,"Arilyn Jean Lelande, 29, invaded 35-year-old teacher Angela Jean Brown's sixth-grade classroom, pointed a handgun at the children and told them to move back. Lelande, Brown's sister, demanded money from Brown before firing several shots at her, hitting her at least once in the abdomen and leaving her in serious condition. Lelande was arrested and charged with first-degree assault.[327]"
10/9/1988,"Sacramento, California",1,0,1,"15-year-old Serrocko James Henry, a Sacramento High School sophomore, and 12-year-olds Edell Story, Jerry Wilson, and DeVon Johnson-Curry were taking turns using a baseball bat to smash windows at the school, tripping the school's alarm. Police arrived and encountered the children in a dimly lit hallway, Story still carrying a baseball bat. Henry was shot in the chest and killed. The other three boys were detained for questioning and then released to their parents. The sheriff declared the shooting a justifiable homicide.[327]"
11/22/1988,"Abilene, Texas",0,1,1,"16-year-old student Mason Staggs shot Cooper High School teacher Rick Maloney in the face with a pistol, severely injuring him. Staggs surrendered to police two hours later, pleaded guilty and was sentenced to 14 years in prison.[331]"
12/16/1988,"Virginia Beach, Virginia",1,1,2,"At Atlantic Shores Christian School, 16-year-old student Nicholas Elliott shot two teachers with a Mac-10 9-millimeter machine pistol, killing 41-year-old Karen Farley and critically wounding 37-year-old Sam Marino, then began firing on a classroom full of students before the gun jammed; no students were hit.[256][332][333] He was sentenced to life plus 114 years in prison with 15 years before parole.[334]"
1/17/1989,"Stockton, California",6,32,38,"Stockton schoolyard shooting: 24-year-old Patrick Edward Purdy fatally shot five children and wounded 32 others at the Cleveland Elementary School before taking his own life. The victims were children of refugees from Southeast Asia. Purdy had a history of violence, alcoholism and drug addiction, and criminality.[333][335]"
2/10/1989,"Kearns, Utah",0,0,0,"At Thomas Jefferson Junior High School, a 12-year-old boy fired a handgun at a vice principal, William Crumbaugh. No one was injured.[336]"
9/19/1989,"Kalihi-Palama, Hawaii",1,0,1,A gang-related shooting at Farrington High School left 18-year-old Edilberto Asuncion dead in the parking lot.[321][337]
12/5/1989,"McKeesport, Pennsylvania",1,1,2,"While riding the school bus, 16-year-old Serra Catholic High School student Robert Butler shot 16-year-old schoolmate Adam Ference in the back of the head before fatally shooting himself.[338] Ference was in critical condition but survived.[339]"
3/27/1990,"Brooklyn, New York",0,1,1,A Black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. A 14-year-old was then shot and slightly wounded because he had acted as peacemaker when the same boys had clashed with another Black teen the month before.[340]
5/15/1990,"Bozeman, Montana",2,0,2,"19-year-old Brett Byers entered the dorm room of James Clevenger and Brian Boeder, both also 19, while they were sleeping and fatally shot both of them with a sawed-off shotgun. He was convicted of two counts of deliberate homicide and sentenced to 165 years in prison. Byers was denied parole in 2007, 2015, and 2020.[341][342][343]"
8/26/1990,"Sunrise Manor, Nevada",1,0,1,"Minutes before the first bell rang on the first day of school at Eldorado High School in Las Vegas, Nevada, 15-year-old Curtis Collins shot 16-year-old Donnie Lee Bolden Jr. in the neck, killing him in the crowded high school cafeteria.[344] Collins was released from prison in 2005 on permanent parole.[345]"
9/11/1990,"San Antonio, Texas",0,3,3,"Three students were wounded when gang-related gunfire broke out at Sam Houston High School. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford and two other male students were arrested and charged.[346]"
4/23/1991,"Compton, California",1,0,1,"A teenager fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He missed and instead killed 11-year-old bystander Alejandro Vargas, a student at the school.[347]"
5/16/1991,"Kansas City, Kansas",0,2,2,A teenage boy fired a gun toward a crowd in the Coronado Middle School cafeteria which injured a boy and a girl. Police said the shooting was gang-related.[348]
9/18/1991,"Crosby, Texas",1,0,1,17-year-old Arthur Jermel Jack was killed by 15-year-old LaKeeta Cadoree in the cafeteria at Crosby High School.[349]
11/1/1991,"Iowa City, Iowa",6,1,7,"University of Iowa shooting: 28-year-old former graduate student Gang Lu killed four members of the University of Iowa's faculty and a research student and seriously wounded another student. 47-year-old professor of physics and astronomy Christoph K. Goertz, 45-year-old associate professor of physics and astronomy Robert Alan Smith, 44-year-old chairman of the physics and astronomy department Dwight R. Nicholson, 56-year-old associate vice president for academic affairs Dr. Theresa Anne Cleary were shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head and died shortly after police arrived.[350][351][352][353]"
11/25/1991,"Brooklyn, New York",1,1,2,"At Thomas Jefferson High School, During an argument between two teens, three shots were fired and a stray bullet killed a third, uninvolved 16-year-old student and a teacher, Robert Anderson, who was approaching to intervene was critically wounded. 14-year-old shooter Jason Bentley was sentenced to three to nine years in prison.[333][354][355][356][357]"
1/29/1992,"Kent, Ohio",0,1,1,26-year-old graduate student Sarah Smith was shot and wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[358]
2/26/1992,"Brooklyn, New York",2,0,2,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter killed fellow students 16-year-old Tyrone Sinkler and 17-year-old Ian Moore on the school's second-floor hallway.[359] In 1993, he was sentenced to 6_ to 20 years in prison. He was released on parole in 1998.[333]"
3/5/1992,"Obetz, Ohio",0,1,1,"At Hamilton Middle School, 12-year-old Gordon W. Dye Jr. shot his bully, 14-year-old Gregg Johnson, in the head with a .22-caliber pistol in the school cafeteria. Johnson survived, and Dye was released to his parents and put on house arrest.[360]"
3/9/1992,"Lancaster, Pennsylvania",1,0,1,"At Carter MacRae Elementary School, 13-year-old student Ricardo Cruz fired a handgun at another classmate but missed and accidentally shot and killed 18-year-old Debbie Rivera. Cruz was sentenced to life without parole for the shooting but was resentenced in 2017 to 25 years to life and was immediately paroled.[361][362][363]"
3/31/1992,"Algiers, Louisiana",1,0,1,"15-year-old Jomo-Kenyetta Joseph was shot in the head and killed at O. Perry Walker High School during an early morning scuffle involving 10 boys from two rival neighborhoods, Herman Tureau who was also 15 fired the fatal shot and was sentenced to life in prison without parole but was resentenced and paroled.[364][365]"
4/23/1992,"Bloomington, Indiana",3,0,3,"Indiana University graduate student Susan Clements was shot to death in her dorm by a former boyfriend before he committed suicide. A friend who attempted to intervene, Steven Molen, was also shot and critically injured; he died several days later.[366]"
5/1/1992,"Olivehurst, California",4,10,14,Lindhurst High School shooting: Former student 20-year-old Eric Houston killed three students and one teacher and wounded nine other students and another teacher before surrendering to police. Houston was later sentenced to death and remains on California's death row.[235][333]
9/11/1992,"Amarillo, Texas",0,7,7,"Following a pep rally at Palo Duro High School, 17-year-old Randy Earl Matthews shot and wounded seven students with a .22-caliber pistol. Matthews had attended the school for nine days when the incident occurred and was believed to have been bullied at his previous school. Matthews was charged with one count of attempted murder, five counts of aggravated assault, and one count of unlawfully carrying a weapon onto school grounds. He was convicted and served eight years."
10/19/1992,"The Bronx, New York",0,3,3,"Two 14-year-old girls and a 16-year-old boy were shot outside a Bronx high school, the apparent result of a dispute between the gunman and the boy. The girls were bystanders.[368]"
11/4/1992,"Fox Creek, Michigan",0,11,11,"During a four-hour period, gunfire hit 11 students in three separate school incidents; five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest when shots were fired at two Mumford High School students, one of which escaped injury after a bullet struck the students wallet.[369]"
11/20/1992,"Canaryville, Illinois",1,2,3,"15-year-old freshmen student DeLondyn Lawson, of Tilden High School was shot to death in a hallway on the school's second floor by 16-year-old student Joseph White. The shooting was ruled gang-related. In addition to killing Lawson, White who was a documented gang member, wounded two other students in the shooting.[370]"
12/14/1992,"Great Barrington, Massachusetts",2,4,6,"1992 Bard College at Simon's Rock shooting: Wayne Lo, a Taiwanese-born American, opened fire at Bard College at Simon's Rock. He killed one student and a professor and wounded four people.[371] Lo was sentenced to life in prison without parole for the murders."
1/6/1993,"Brentwood, New York",0,1,1,Brentwood High School. Former student Matthew Hunter was shot and wounded by two gunmen during a basketball game between Brentwood High School and Sachem High School over a dispute about the theft of a gold chain.[372]
1/18/1993,"Grayson, Kentucky",2,0,2,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian Marvin Hicks.[373] Pennington was sentenced to life in prison without parole for 25 years."
2/22/1993,"Reseda, California",1,0,1,15-year-old Robert Heard fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[374]
4/15/1993,"Acushnet, Massachusetts",1,0,1,"44-year-old David Taber entered Ford Middle School and took three hostages. During the hostage crisis, Taber killed school nurse Carol Day. Taber was found not guilty of the murder by reason of insanity.[333]"
5/14/1993,"Irving, Texas",1,0,1,17-year-old Max Alexander Martinez shot and killed 17-year-old Jose Balderas with a .38-caliber revolver in a hallway in Nimitz High School during a dispute over girls. Martinez was sentenced to life in prison and was first eligible for parole in 2008 but remains incarcerated as of 2020.[375][376][377]
5/24/1993,"Pennsburg, Pennsylvania",1,0,1,"15-year-old student Jason Smith killed 16-year-old Michael Swann, another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between 12 and 25 years in prison.[333][378]"
5/27/1993,"St. Claude, Louisiana",1,0,1,17-year-old Shon Williams fired 10 shots in the Frederick A. Douglass High School schoolyard which took the life of 15-year-old student Gerald Dordain.[379][380][381][382]
7/13/1993,"Ogden, Utah",1,3,4,"Student Mark Duong, a senior at Weber State University, opened fire at a grievance hearing with a semi-automatic handgun. Duong wounded three people in the shooting, including a police officer; the officer subsequently returned fire and killed Duong.[383] Duong was attending the grievance hearing due to an accusation of sexual harassment by a female classmate."
9/2/1993,"Junction City, Kansas",0,1,1,A 15-year-old boy fired a gun at a male student in the cafeteria after an argument between the two. A 14-year-old girl who was not involved in the fight was non-fatally struck in the head.[384][385][386]
9/17/1993,"Darien, Illinois",1,0,1,15-year-old Phillip Powell killed 17-year-old Barrett Modisette at the Hinsdale South High School parking lot. Powell was a self-described gang member. Powell was tried as an adult and was sentenced to 37 years in prison in 1994.[387]
9/17/1993,"Sheridan, Wyoming",1,4,5,"29-year-old Kevin Newman opened fire with a 9mm Ruger P85 handgun on a group of about 30 middle schoolers gathered on a soccer field outside Central Junior High School. Newman fired a total of 23 shots and wounded four students before committing suicide. A suicide note left by Newman indicated extreme mental disturbance and his belief that he was an ""evil person"". He had been discharged from the navy 10 days earlier and had a history of misdemeanor offenses.[388]"
11/4/1993,"New Britain, Connecticut",1,0,1,"18-year-old Miguel DeJesus was shot and killed on the steps of New Britain High School.[389] Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were convicted and sentenced to 15 years in prison.[390][391]"
12/1/1993,"Wauwatosa, Wisconsin",1,0,1,Wauwatosa West High School shooting: 21-year-old former student Leonard D. McDowell shot 46-year-old associate principal Dale Breitlow three times in a hallway of Wauwatosa West High School.[376][392] McDowell was found guilty of the murder and was sentenced to life in prison.[333] His sentence was upheld by the state Court of Appeals in April 1997.[393]
12/17/1993,"Chelsea, Michigan",1,2,3,"Stephen Leith, a disgruntled Chelsea High School teacher shot and killed the school district's superintendent and also wounded a principal and another teacher.[394] Leith was sentenced to life without parole.[270]"
1/24/1994,"Columbia, South Carolina",1,0,1,18-year-old Floyd Eugene Brown shot fellow Eau Claire High School student 17-year-old Earnest Dunlap following an argument the week before. Brown was arrested shortly after at his home.[395] A jury later acquitted Brown of murder.[396]
1/31/1994,"Blue Ridge, Washington",1,0,1,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, Washington killed 45-year-old teacher Neal Summers, who had sexually abused Cloud since he was 13. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[397]"
2/7/1994,"Fort Myers, Florida",2,0,2,"48-year-old former Cypress Lake Middle School special ed teacher Larry Ray Shelton went to the Lee County School District office to talk with superintendent 57-year-old James A. Adams but then shot him six times with a .38-caliber handgun, killing him. Larry then walked out of the office and out of the building then walked to a nearby parking lot and committed suicide.[398][399]"
2/8/1994,"Osborn, Michigan",1,0,1,At the student parking lot of Osborn High School 19-year-old special ed student Steven Watkins was shot in his car by an unknown assailant and died from his injuries.[270][400]
2/14/1994,"Belmont, California",1,0,1,"At Carlmont High School Edwin Sims, 15, and Gile W., 15, were arguing about who had the bigger gun when Sims pulled out a BB gun while Gile W. pulled out a real gun and killed Edwin, The boys had a history of feuds with one another.[401][398]"
2/18/1994,"Spartanburg, South Carolina",0,1,1,24-year-old Roosevelt Johnson was shot in the leg after a basketball game at Spartanburg High School.[402]
3/1/1994,"Boonville, Missouri",2,0,2,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had had a fight the night before. No students were harmed.[403] Hayes was later convicted of two counts of murder and sentenced to life without parole.[404]"
3/1/1994,"Ensley, Alabama",0,1,1,"At Ensley High School 17-year-old Walter Westbrook II, a member of the Disciples gang shot 15-year-old Andre Allen, a member of the Crips. Allen survived, Westbrook was convicted of attempted murder and sentenced to 20 years in prison.[405][398]"
3/9/1994,"Washington, D.C.",0,1,1,"At Eastern High School 17-year-old Cornell Andrew Cheeks Jr. Shot 17-year-old Jeremy Cook, Cheeks then fled the school and turned himself in the police station. Cook survived his injuries.[406][398]"
3/15/1994,"Goose Creek, South Carolina",1,0,1,"While watching a fistfight between students after class at Goose Creek High School, 18-year-old Michael Ryan Spann was shot and killed by a student that attended another school.[407][408][398]"
3/23/1994,"Ballard, Washington",1,1,2,"At Ballard High School during a drive-by shooting, 16-year-old Melissa Fernandez was fatally shot and a 16-year-old male student received minor injuries. The shooting was believed to be gang-related. Later in the year, police arrested Brian Ronquillo, 16, and Cesar Sarausad, 19, for the shooting. Brian, who was the trigger man was convicted of first degree murder and was sentenced to 52 years in prison and Cesar, who drove the car was convicted of second degree murder and was sentenced to more than 27 years in prison.[409][398][410]"
4/5/1994,"Austin, Texas",0,2,2,"At McNeil High School, a student brought a 9mm pistol to the school and showed it off to a classmate. As he did the gun fired, shot through a wall and injured two students. Three 16-year-old boys were arrested for the incident.[398]"
4/8/1994,"Upper Marlboro, Maryland",0,1,1,"At Largo High School, 45-year-old arts teacher Barrington Miles was shot in the chest at the boys restroom by 17-year-old student Warren Emmanuel Graham with a 9mm semiautomatic Beretta pistol he had stolen from his police officer father that morning in an attempt to sell it to students. Warren was fled the school and was arrested at a friend's house. He was convicted in adult court of intent to murder, possession of a firearm on school property and use of a firearm in the commission of a felony.[411][398]"
4/12/1994,"Butte, Montana",1,0,1,"10-year-old James Osmanson, teased because his parents had AIDS, brought a gun to school and tried to shoot his bully but missed and killed a different student, 11-year-old Jeremy Bullock, on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[333][376][412] In 2016, James Osmanson, whose name had changed at that point, was convicted of possessing child pornography and given probation. [413]"
4/19/1994,"Washington, D.C.",1,0,1,"At Eliot Junior High School, 21-year-old Louis Edward Lehear was shot to death.[414]"
4/21/1994,"Nashville, Tennessee",1,0,1,14-year-old Jeremy Bryant shot and killed 13-year-old Terrence Murray at J.T. Moore Middle School.[415]
4/21/1994,"North Miami, Florida",1,0,1,"At North Miami High School, 18-year-old Tyhno Rock was showing his friends a .380-caliber semiautomatic pistol at lunch, then accidentally fired it at 18-year-old Edvard Alvonor's chest; he who died two days later.[398][416]"
7/21/1994,"Ardmore, Pennsylvania",1,0,1,"At the Ardmore Child Care Center, 40-year-old teacher Diane Morse was killed by her former friend 36-year-old Arcelia Trumaine Stoval who had a history of mental illness. Arcelia was convicted of first degree murder and is serving a life sentence.[398][417]"
7/24/1994,"Manchester, Pennsylvania",1,0,1,"A feud between Scott Walker, 15, and Randy Hawkins, 19, climaxed when walker shot Hawkins to death on the Manchester elementary school basketball court.[398] Walker was originally sentenced to life without parole for the shooting but was resentenced On April 26, 2018, to 35 years to life.[418][419]"
7/25/1994,"Ottumwa, Iowa",1,0,1,"At Ottumwa High School, 16-year-old Michael Coffman shot and killed 15-year-old Jeramy Wayne Allen after the two boys argued earlier that day. Coffman was originally sentenced to life without parole for the shooting but was resentenced in February 2017 to life in prison with chance of parole.[398][420][421]"
10/12/1994,"Greensboro, North Carolina",1,1,2,"After being suspended for smoking, 16-year-old Nicholas Atkinson returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal Bill Whites, Atkinson took his own life.[235][422][423]"
10/17/1994,"West Lawn, Illinois",0,1,1,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[424]"
11/7/1994,"Wickliffe, Ohio",1,5,6,"Wickliffe Middle School shooting: 37-year-old former student Keith A. Ledeger killed 41-year-old custodian Pete Christopher at Wickliffe Middle School and wounded 47-year-old assistant principal Jim Anderson, 47-year-old police officer Thomas Schmidt, and 50-year-old teacher Lowell Grimm. He then exchanged shots with police before being injured and taken into custody.[333][376][425] Ledeger was sentenced to 57 years in prison and died in prison of natural causes in 2011.[426]"
12/14/1994,"Albany, New York",0,1,1,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany, held hostage a large lecture hall. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by 19-year-old student Jason McEnaney, who was shot in the leg, groin, and abdomen in the exchange. Tortorici, who suffered from a well-documented history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center. He committed suicide in 1999 in prison while serving a 15_-year sentence.[427][428][429][430]"
1/6/1995,"Washington, D.C.",1,0,1,"A 16-year-old sophomore at Cardozo High School was fatally shot at an entrance to the school, allegedly by a 14-year-old freshman with whom he had been arguing.[431]"
1/12/1995,"Seattle, Washington",0,2,2,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.[432]
1/26/1995,"Chapel Hill, North Carolina",2,2,4,A law student shot four people on and near the University of North Carolina at Chapel Hill campus.[433][434]
2/8/1995,"Chadron, Nebraska",0,1,1,"A 7th-grade student walked into a classroom and shot 35-year-old Andy Pope, a social studies teacher in the upper chest at Chadron Middle School.[435]"
8/29/1995,"Laredo, Texas",1,0,1,"Armed with a sawn-off shotgun, 12-year-old Jonah Inverson shot and killed 12-year-old Elizabeth Rivera, who had turned down Inverson's request to go out with him, in a restroom at Memorial Middle School.[327]"
9/12/1995,"Memphis, Tennessee",1,0,1,At Cypress Junior High School two students jumped another student who retaliated with a gun and shot one of his attackers who later died.[436][437][400][438][439][440][441]
9/14/1995,"Olathe, Kansas",2,4,6,"During a football game at Olathe North High School, a student from Shawnee Mission North High School drove by the students and fired at them with a .22-caliber Jennings semiautomatic handgun which killed an Olathe North student and the students cousin.[442][443][444]"
9/29/1995,"Tavares, Florida",1,0,1,14-year-old student Keith E. Johnson killed 13-year-old Joey Summerall at Tavares Middle School with a handgun he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[445]
10/12/1995,"Blackville, South Carolina",2,1,3,Blackville-Hilda High School shooting: Suspended student 16-year-old Toby R. Sincino killed 56-year-old math teacher Phyllis Senn and wounded 38-year-old math teacher Johnny Thompson before committing suicide at Blackville-Hilda High School.[333][376][446][447]
11/15/1995,"Lynnville, Tennessee",2,1,3,Richland High School shooting: 17-year-old James Rouse killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle. Rouse was later sentenced to life in prison without parole.[333][446][448]
1/19/1996,"Washington, D.C.",1,0,1,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. One shooter, 16-year-old Darrick Evans, was sentenced to 41 years to life in prison.[333]"
2/2/1996,"Moses Lake, Washington",3,1,4,Frontier Middle School shooting: 14-year-old Barry Loukaitis killed a teacher and two students and wounded another student when he opened fire on his algebra class.[448][449]
2/8/1996,"Palo Alto, California",1,1,2,"At Mid-Peninsula High School, a student drove onto the basketball court of his Palo Alto high school, tossed a handful of money out of the car window and then opened fire on the students who had hurried over to grab the bills injuring one student then committed suicide.[450][451][452]"
2/22/1996,"Savannah, Georgia",1,0,1,"At Jenkins High School, Keith Antwone Green shot and killed Dwayne Cedric Martin.[453][454][455][456]"
2/29/1996,"St. Louis, Missouri",2,1,3,"30-year-old Mark Boyd hired 23-year-old Malik Nettles to kill 15-year-old Kyunia Taylor as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd; a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot but survived.[457] Both Boyd and Nettles were convicted of murder. Boyd was sentenced to 26 years while Nettles was sentenced to life without parole.[458]"
3/19/1996,"North Las Vegas, Nevada",0,2,2,"At Swainston Middle School, two students were shot by another student with a pellet gun.[459]"
5/14/1996,"South Jordan, Utah",1,1,2,"On a school bus bound for Bingham Middle School, 15-year-old student Justin Allgood shot and wounded the bus driver and started driving the bus himself and led police on a high-speed chase before crashing into a house. Allgood then committed suicide.[460]"
7/26/1996,"Franklin Hills, California",0,2,2,Two students were shot and injured in a stairwell at John Marshall High School.[461]
